nbEmptyDocks,lastCommWithServer,locked,name,installDate,nbBikes,id,long,installed,terminalName,latestUpdateTime,lat,temporary,removalDate,public
6,1389028855797,false,Taft St & E Gude Dr,1382804520000,9,292,-77.132954,true,32031,1389024184851,39.094103,false,,true
7,1389028901686,false,Fleet St & Ritchie Pkwy,1382809500000,8,293,-77.141378,true,32032,1388987865008,39.076331,false,,true
10,1389028850120,false,Piccard & W Gude Dr,1382795700000,9,294,-77.177091,true,32033,1388956557184,39.102212,false,,true
9,1389028944523,false,Ripley & Bonifant St,1383141360000,6,295,-77.029457,true,32034,1388987866261,38.992679,false,,true
4,1389028867573,false,Georgia Ave & Spring St,1383146520000,7,296,-77.031555,true,32035,1388920953409,38.999388,false,,true
6,1389028954185,false,Fenton St & Ellsworth Dr ,1383135960000,9,297,-77.025608,true,32036,1388921348207,38.997033,false,,true
7,1389028897407,false,King Farm Blvd & Pleasant Dr,1383323580000,11,298,-77.171487,true,32037,1388987873989,39.114688,false,,true
8,1389028983618,false,King Farm Blvd & Piccard Dr,1383318120000,7,299,-77.182669,true,32038,1388987875100,39.110314,false,,true
6,1389028842947,false,Calvert St & Woodley Pl NW,1383657120000,13,301,-77.050046,true,31121,1389024830117,38.923583,false,,true
11,1389028906861,false,New Jersey Ave & N St NW/Dunbar HS,1383662880000,8,302,-77.015231,true,31636,1389019396847,38.90706,false,,true
4,1389028846492,false,Nannie Helen Burroughs Ave & 49th St NE,1383923280000,7,303,-76.931862,true,31710,1388987868138,38.898536,false,,true
5,1389028917433,false,Deanwood Rec Center,1383923280000,10,304,-76.933099,true,31711,1388901373107,38.908473,false,,true
9,1389028770133,false,Hains Point/Buckeye & Ohio Dr SW,1383929160000,8,305,-77.03023,true,31273,1389006950887,38.878433,false,,true
4,1389028897169,false,Arlington Blvd & Fillmore St,1384527780000,7,306,-77.089233,true,31070,1388967779788,38.873755,false,,true
8,1389028920329,false,Long Bridge Park/Long Bridge Dr & 6th St S,1384520760000,7,307,-77.04826,true,31071,1388987866243,38.86646,false,,true
8,1389028896292,false,Old Georgetown Rd & Southwick St,1384367940000,9,308,-77.109647,true,32039,1389020443368,38.999634,false,,true
8,1389028876440,false,Friendship Blvd & Willard Ave,1384355760000,10,309,-77.088659,true,32040,1389027204543,38.96115,false,,true
7,1389028978732,false,North Capitol St & G Pl NE,1386954360000,12,310,-77.008911,true,31637,1389025281226,38.899703,false,,true
3,1389028783739,false,31st & Woodrow St S,1387298640000,8,311,-77.09482,true,31072,1388987874158,38.837666,false,,true
7,1389028877909,false,Washington Blvd & Walter Reed Dr ,1387287180000,8,312,-77.082104,true,31073,1388987872037,38.873219,false,,true
4,1389028820524,false,Thomas Jefferson Cmty Ctr / 2nd St S & Ivy,1386774900000,7,313,-77.093586,true,31074,1389017365216,38.869675,false,,true
7,1389028789604,false,Connecticut Ave & Tilden St NW,1386954480000,8,314,-77.062036,true,31313,1388987873856,38.941154,false,,true
