availableDocks,totalDocks,city,altitude,stAddress2,longitude,lastCommunicationTime,postalCode,statusValue,testStation,stAddress1,stationName,landMark,latitude,statusKey,availableBikes,id,location
21,46,,,,-73.99238967,,,In Service,False,E 16 St & 5 Ave,E 16 St & 5 Ave,,40.73726186,1,25,496,
20,59,,,,-73.99009296,,,In Service,False,E 17 St & Broadway,E 17 St & Broadway,,40.73704984,1,38,497,
18,30,,,,-73.98808416,,,In Service,False,Broadway & W 32 St,Broadway & W 32 St,,40.74854862,1,12,498,
30,36,,,,-73.98191841,,,In Service,False,Broadway & W 60 St,Broadway & W 60 St,,40.76915505,1,6,499,PBSC
52,52,,,,-73.98336183,,,Not In Service,False,Broadway & W 51 St,Broadway & W 51 St,,40.76228826,3,0,500,
12,43,,,,-73.97121214,,,In Service,False,FDR Drive & E 35 St,FDR Drive & E 35 St,,40.744219,1,31,501,
23,30,,,,-73.981346,,,In Service,False,Henry St & Grand St,Henry St & Grand St,,40.714215,1,6,502,
19,29,,,,-73.98751968,,,In Service,False,E 20 St & Park Ave,E 20 St & Park Ave,,40.73827428,1,9,503,
32,45,,,,-73.98165557,,,In Service,False,1 Ave & E 15 St,1 Ave & E 15 St,,40.73221853,1,12,504,
36,36,,,,-73.98848395,,,In Service,False,6 Ave & W 33 St,6 Ave & W 33 St,,40.74901271,1,0,505,
21,47,,,,-73.97973776,,,In Service,False,E 25 St & 2 Ave,E 25 St & 2 Ave,,40.73912601,1,26,507,
16,24,,,,-73.99667444,,,In Service,False,W 46 St & 11 Ave,W 46 St & 11 Ave,,40.76341379,1,8,508,
22,36,,,,-74.00197139,,,In Service,False,9 Ave & W 22 St,9 Ave & W 22 St,,40.7454973,1,11,509,
12,51,,,,-73.98042047,,,In Service,False,W 51 St & 6 Ave,W 51 St & 6 Ave,,40.7606597,1,39,510,
23,33,,,,-73.97772429,,,In Service,False,E 14 St & Avenue B,E 14 St & Avenue B,,40.72938685,1,10,511,
14,27,,,,-73.99839279,,,In Service,False,W 29 St & 9 Ave,W 29 St & 9 Ave,,40.7500727,1,12,512,
13,27,,,,-73.988639,,,In Service,False,W 56 St & 10 Ave,W 56 St & 10 Ave,,40.768254,1,13,513,
5,53,,,,-74.00277668,,,In Service,False,12 Ave & W 40 St,12 Ave & W 40 St,,40.76087502,1,47,514,
35,35,,,,-73.99461843,,,In Service,False,W 43 St & 10 Ave,W 43 St & 10 Ave,,40.76009437,1,0,515,
2,39,,,,-73.96784384,,,In Service,False,E 47 St & 1 Ave,E 47 St & 1 Ave,,40.75206862,1,37,516,
14,59,,,,-73.97798848,,,In Service,False,Pershing Square S,Pershing Square S,,40.75149263,1,45,517,
37,39,,,,-73.9734419,,,In Service,False,E 39 St & 2 Ave,E 39 St & 2 Ave,,40.74780373,1,1,518,
36,61,,,,-73.97770164,,,In Service,False,Pershing Square N,Pershing Square N,,40.75188406,1,25,519,
25,39,,,,-73.97648516,,,In Service,False,W 52 St & 5 Ave,W 52 St & 5 Ave,,40.75992262,1,13,520,
5,67,,,,-73.99481051,,,In Service,False,8 Ave & W 31 St,8 Ave & W 31 St,,40.75044999,1,62,521,
31,51,,,,-73.97207836,,,In Service,False,E 51 St & Lexington Ave,E 51 St & Lexington Ave,,40.75714758,1,20,522,
28,51,,,,-73.99138152,,,In Service,False,W 38 St & 8 Ave,W 38 St & 8 Ave,,40.75466591,1,23,523,
51,57,,,,-73.98316936,,,In Service,False,W 43 St & 6 Ave,W 43 St & 6 Ave,,40.75527307,1,6,524,
