station_start,station_end,distance_meters
chicago100,chicago32,3608
chicago100,chicago320,4279
chicago100,chicago321,2925
chicago100,chicago322,15068
chicago100,chicago323,10903
chicago100,chicago324,5295
chicago100,chicago325,10443
chicago100,chicago326,9735
chicago100,chicago327,4434
chicago100,chicago328,17269
chicago100,chicago329,5767
chicago100,chicago33,2200
chicago100,chicago330,7984
chicago100,chicago331,2787
chicago100,chicago332,6215
chicago100,chicago333,3879
chicago100,chicago334,6933
chicago100,chicago335,10406
chicago100,chicago336,14157
chicago100,chicago337,1453
chicago100,chicago338,6771
chicago100,chicago339,7509
chicago100,chicago34,4784
chicago100,chicago340,5063
chicago100,chicago341,6030
chicago100,chicago342,5806
chicago100,chicago343,5424
chicago100,chicago344,10651
chicago100,chicago345,15419
chicago100,chicago346,3020
chicago100,chicago347,8533
chicago100,chicago348,8217
chicago100,chicago349,5561
chicago100,chicago35,2345
chicago100,chicago350,3183
chicago100,chicago351,16021
chicago100,chicago36,2682
chicago100,chicago37,1851
chicago100,chicago42,5008
chicago100,chicago43,1725
chicago100,chicago44,1354
chicago100,chicago45,2607
chicago100,chicago46,1554
chicago100,chicago47,877
chicago100,chicago48,1398
chicago100,chicago49,1603
chicago100,chicago5,2560
chicago100,chicago50,2321
chicago100,chicago51,1453
chicago100,chicago52,1562
chicago100,chicago53,908
chicago100,chicago54,2136
chicago100,chicago55,3779
chicago100,chicago56,979
chicago100,chicago57,3164
chicago100,chicago58,5529
chicago100,chicago59,3457
chicago100,chicago60,3090
chicago100,chicago61,4079
chicago100,chicago62,7580
chicago100,chicago66,1055
chicago100,chicago67,4846
chicago100,chicago68,2187
chicago100,chicago69,4841
chicago100,chicago71,1987
chicago100,chicago72,4129
chicago100,chicago73,2023
chicago100,chicago74,880
chicago100,chicago75,2014
chicago100,chicago76,3543
chicago100,chicago77,1543
chicago100,chicago80,2711
chicago100,chicago81,1312
chicago100,chicago84,1604
chicago100,chicago85,2520
chicago100,chicago86,2622
chicago100,chicago87,5017
chicago100,chicago88,2434
chicago100,chicago90,2122
chicago100,chicago91,1328
chicago100,chicago92,2016
chicago100,chicago93,3558
chicago100,chicago94,3795
chicago100,chicago97,5805
chicago100,chicago98,1192
chicago100,chicago99,6272
chicago106,chicago100,1861
chicago106,chicago106,0
chicago106,chicago108,4532
chicago106,chicago109,4394
chicago106,chicago110,465
chicago106,chicago111,1188
chicago106,chicago112,3426
chicago106,chicago113,4076
chicago106,chicago114,6251
chicago106,chicago115,5414
chicago106,chicago116,6292
chicago106,chicago117,5610
chicago106,chicago118,2519
chicago106,chicago119,4609
chicago106,chicago120,7833
chicago106,chicago121,14129
chicago106,chicago122,5734
chicago106,chicago123,7413
chicago106,chicago124,8512
chicago106,chicago126,1887
chicago106,chicago127,4067
chicago106,chicago128,4591
chicago106,chicago129,7184
chicago106,chicago13,5265
chicago106,chicago130,4952
chicago106,chicago131,6245
chicago106,chicago132,8766
chicago106,chicago134,4029
chicago106,chicago135,6509
chicago106,chicago136,6055
chicago106,chicago137,5916
chicago106,chicago138,1972
chicago106,chicago14,6396
chicago106,chicago140,343
chicago106,chicago141,2376
chicago106,chicago143,3156
chicago106,chicago144,3621
chicago106,chicago146,5004
chicago106,chicago147,8312
chicago106,chicago148,10407
chicago106,chicago149,9754
chicago106,chicago15,6865
chicago106,chicago150,8674
chicago106,chicago152,5180
chicago106,chicago153,5744
chicago106,chicago154,6089
chicago106,chicago156,4965
chicago106,chicago157,5664
chicago106,chicago158,5703
chicago106,chicago159,6241
chicago106,chicago16,5089
chicago106,chicago160,6616
chicago106,chicago162,6782
chicago106,chicago163,6165
chicago106,chicago164,2261
chicago106,chicago165,6582
chicago106,chicago166,6202
chicago106,chicago167,9156
chicago106,chicago168,5987
chicago106,chicago169,3825
chicago106,chicago17,4603
chicago106,chicago170,8369
chicago106,chicago171,6961
chicago106,chicago173,647
chicago106,chicago174,2771
chicago106,chicago175,3369
chicago106,chicago176,910
chicago106,chicago177,3877
chicago106,chicago178,7837
chicago106,chicago179,11126
chicago106,chicago181,1215
chicago106,chicago183,4751
chicago106,chicago184,10901
chicago106,chicago185,6748
chicago106,chicago186,4409
chicago106,chicago188,5177
chicago106,chicago19,5896
chicago106,chicago190,5760
chicago106,chicago191,3159
chicago106,chicago192,3248
chicago106,chicago193,9002
chicago106,chicago194,1314
chicago106,chicago195,2217
chicago106,chicago196,1406
chicago106,chicago197,2138
chicago106,chicago198,3427
chicago106,chicago199,821
chicago106,chicago20,3433
chicago106,chicago200,12605
chicago106,chicago201,11513
chicago106,chicago202,6119
chicago106,chicago203,9397
chicago106,chicago204,14384
chicago106,chicago205,7870
chicago106,chicago206,9281
chicago106,chicago207,9759
chicago106,chicago208,7842
chicago106,chicago209,8721
chicago106,chicago21,4815
chicago106,chicago210,4192
chicago106,chicago211,839
chicago106,chicago212,1115
chicago106,chicago213,5809
chicago106,chicago214,5514
chicago106,chicago215,5488
chicago106,chicago216,7183
chicago106,chicago217,3537
chicago106,chicago218,7886
chicago106,chicago219,5609
chicago106,chicago22,5440
chicago106,chicago220,4550
chicago106,chicago222,6973
chicago106,chicago223,4222
chicago106,chicago224,3387
chicago106,chicago225,3891
chicago106,chicago226,5948
chicago106,chicago227,7077
chicago106,chicago228,7287
chicago106,chicago229,6562
chicago106,chicago23,1813
chicago106,chicago230,6801
chicago106,chicago231,9061
chicago106,chicago232,6884
chicago106,chicago233,3705
chicago106,chicago234,8136
chicago106,chicago236,2184
chicago106,chicago237,9693
chicago106,chicago238,8903
chicago106,chicago239,9769
chicago106,chicago24,1370
chicago106,chicago240,7081
chicago106,chicago241,4844
chicago106,chicago242,9538
chicago106,chicago243,9140
chicago106,chicago244,8839
chicago106,chicago245,8508
chicago106,chicago246,8217
chicago106,chicago247,14315
chicago106,chicago248,15678
chicago106,chicago249,8948
chicago106,chicago25,432
chicago106,chicago250,6702
chicago106,chicago251,9331
chicago106,chicago252,13288
chicago106,chicago253,10142
chicago106,chicago254,7761
chicago106,chicago255,5645
chicago106,chicago256,8117
chicago106,chicago257,7462
chicago106,chicago258,6938
chicago106,chicago259,7333
chicago106,chicago26,1669
chicago106,chicago260,8576
chicago106,chicago261,6374
chicago106,chicago262,11512
chicago106,chicago263,9218
chicago106,chicago264,2075
chicago106,chicago265,11175
chicago106,chicago267,12733
chicago106,chicago268,2143
chicago106,chicago27,2707
chicago106,chicago271,11830
chicago106,chicago272,9720
chicago106,chicago273,6906
chicago106,chicago274,6469
chicago106,chicago275,6825
chicago106,chicago276,7225
chicago106,chicago277,4393
chicago106,chicago278,11001
chicago106,chicago279,11177
chicago106,chicago28,3348
chicago106,chicago280,10703
chicago106,chicago281,10253
chicago106,chicago282,5307
chicago106,chicago283,2599
chicago106,chicago284,2573
chicago106,chicago285,5097
chicago106,chicago286,2711
chicago106,chicago287,2481
chicago106,chicago288,3368
chicago106,chicago289,2367
chicago106,chicago29,3620
chicago106,chicago290,8487
chicago106,chicago291,1776
chicago106,chicago292,7735
chicago106,chicago293,9734
chicago106,chicago294,11028
chicago106,chicago295,10616
chicago106,chicago296,6291
chicago106,chicago297,8579
chicago106,chicago298,8385
chicago106,chicago299,6936
chicago106,chicago30,3951
chicago106,chicago300,5037
chicago106,chicago301,1465
chicago106,chicago302,4605
chicago106,chicago303,6849
chicago106,chicago304,6554
chicago106,chicago305,5808
chicago106,chicago306,8579
chicago106,chicago307,4605
chicago106,chicago308,7463
chicago106,chicago309,6525
chicago106,chicago31,906
chicago106,chicago310,6369
chicago106,chicago311,9554
chicago106,chicago312,8270
chicago106,chicago313,3732
chicago106,chicago314,8459
chicago106,chicago315,5699
chicago106,chicago316,9135
chicago106,chicago317,6729
chicago106,chicago318,7564
chicago106,chicago319,5985
chicago106,chicago32,4983
chicago106,chicago320,5655
chicago106,chicago321,3027
chicago106,chicago322,14813
chicago106,chicago323,9836
chicago106,chicago324,4329
chicago106,chicago325,11368
chicago106,chicago326,8768
chicago106,chicago327,4564
chicago106,chicago328,17015
chicago106,chicago329,5118
chicago106,chicago33,2568
chicago106,chicago330,7104
chicago106,chicago331,3312
chicago106,chicago332,5248
chicago106,chicago333,4539
chicago106,chicago334,5980
chicago106,chicago335,10151
chicago106,chicago336,13902
chicago106,chicago337,353
chicago106,chicago338,6517
chicago106,chicago339,10362
chicago106,chicago34,4176
chicago106,chicago340,4096
chicago106,chicago341,5776
chicago106,chicago342,7181
chicago106,chicago343,5413
chicago106,chicago344,11576
chicago106,chicago345,15164
chicago106,chicago346,4395
chicago106,chicago347,7987
chicago106,chicago348,9592
chicago106,chicago349,4594
chicago106,chicago35,2091
chicago106,chicago350,3806
chicago106,chicago351,15766
chicago106,chicago36,3050
chicago106,chicago37,2219
chicago106,chicago42,7582
chicago106,chicago43,1884
chicago106,chicago44,1463
chicago106,chicago45,2754
chicago106,chicago46,1002
chicago106,chicago47,986
chicago106,chicago48,1900
chicago106,chicago49,1971
chicago106,chicago5,2928
chicago106,chicago50,2689
chicago106,chicago51,1821
chicago106,chicago52,1656
chicago106,chicago53,937
chicago106,chicago54,2673
chicago106,chicago55,5154
chicago106,chicago56,2354
chicago106,chicago57,4540
chicago106,chicago58,4996
chicago106,chicago59,3826
chicago106,chicago60,3013
chicago106,chicago61,4792
chicago106,chicago62,7326
chicago106,chicago66,2430
chicago106,chicago67,4558
chicago106,chicago68,3562
chicago106,chicago69,5554
chicago106,chicago71,3362
chicago106,chicago72,4497
chicago106,chicago73,3398
chicago106,chicago74,1561
chicago106,chicago75,3389
chicago106,chicago76,3288
chicago106,chicago77,2919
chicago106,chicago80,4086
chicago106,chicago81,1680
chicago106,chicago84,2979
chicago106,chicago85,784
chicago106,chicago86,3245
chicago106,chicago87,4940
chicago106,chicago88,3809
chicago106,chicago90,2270
chicago106,chicago91,2703
chicago106,chicago92,2827
chicago106,chicago93,3481
chicago106,chicago94,2878
chicago106,chicago97,5551
chicago106,chicago98,2091
chicago106,chicago99,4653
chicago108,chicago100,3573
chicago108,chicago106,4628
chicago108,chicago108,0
chicago108,chicago109,834
chicago108,chicago110,4162
chicago108,chicago111,3568
chicago108,chicago112,1592
