availableDocks,totalDocks,city,altitude,stAddress2,longitude,lastCommunicationTime,postalCode,statusValue,testStation,stAddress1,stationName,landMark,latitude,statusKey,availableBikes,id,location
6,15,,,,-87.63253,,,Not In Service,False,LaSalle St & Washington St,LaSalle St & Washington St,006,41.882664,3,9,98,
9,19,,,,-87.614492,,,Not In Service,False,Lake Shore Dr & Ohio St,Lake Shore Dr & Ohio St,337,41.89257,3,10,99,
14,23,,,,-87.63639,,,Not In Service,False,Orleans St & Merchandise Mart Plaza,Orleans St & Merchandise Mart Plaza,013,41.888243,3,9,100,333 N Orleans st 
23,27,,,,-87.628722,,,Not In Service,False,State St & Pearson St,State St & Pearson St,014,41.897448,3,4,106,
13,19,Chicago,,,-87.64664,,,Not In Service,False,Halsted St & Polk St,Halsted St & Polk St,027,41.87184,3,6,108,
13,19,Chicago,,,-87.6498,,,Not In Service,False,Halsted St & Harrison St,900 W Harrison,028,41.8745,3,6,109,
10,23,Chicago,,,-87.628623,,,Not In Service,False,State St & Erie St,State St & Erie St,045,41.893975,3,13,110,
13,19,,,,-87.638437,,,Not In Service,False,Sedgwick St & Huron St,Sedgwick St & Huron St,052,41.894666,3,6,111,
8,15,Chicago ,,,-87.648684,,,Not In Service,False,Green St & Randolph St,Green St & Randolph St,053,41.884078,3,7,112,
13,15,Chicago ,,,-87.65222,,,Not In Service,False,Bissell St & Armitage Ave,Bissell St & Armitage Ave,059,41.91844,3,2,113,
18,27,Chicago,,,-87.65445,,,Not In Service,False,Sheffield Ave & Addison St,Sheffield Ave & Addison St,062,41.94688,3,9,114,
16,23,Chicago,,,-87.653566,,,Not In Service,False,Sheffield Ave & Wellington Ave,Sheffield Ave & Wellington Ave,067,41.936253,3,7,115,
13,15,Chicago,,,-87.687051,,,Not In Service,False,Western Ave & Winnebago Ave,Western Ave & Winnebago Ave,068,41.915533,3,2,116,
14,19,Chicago,,,-87.65304,,,Not In Service,False,Wilton Ave & Belmont Ave,Wilton Ave & Belmont Ave,069,41.94018,3,5,117,
